"score","medication","name"
83,"Azithromycin 1 GM Oral Packet","Azithromycin 16.7 MG/ML Oral Suspension"
83,"Benzoyl Peroxide 2.5 % External Gel","Benzoyl Peroxide 0.025 MG/MG Topical Gel"
83,"Betamethasone Dipropionate 0.05 % External Cream","Betamethasone 0.5 MG/ML Topical Cream"
83,"Betamethasone Dipropionate 0.05 % External Lotion","Betamethasone 0.5 MG/ML Topical Lotion"
83,"Bromfed DM 30-2-10 MG/5ML Oral Syrup","Brompheniramine Maleate 0.4 MG/ML / Dextromethorphan Hydrobromide 2 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Bromfed DM]"
83,"BuPROPion HCl (Smoking Deter) 150 MG Oral Tablet Extended Release 12 Hour","12 HR Bupropion Hydrochloride 150 MG Extended Release Oral Tablet"
83,"Butalbital-APAP-Caff-Cod 50-325-40-30 MG Oral Capsule","Acetaminophen 325 MG / butalbital 50 MG / Caffeine 40 MG / Codeine Phosphate 30 MG Oral Capsule"
83,"Butalbital-ASA-Caff-Codeine 50-325-40-30 MG Oral Capsule","Aspirin 325 MG / butalbital 50 MG / Caffeine 40 MG / Codeine Phosphate 30 MG Oral Capsule"
83,"Calcium 1500 MG Oral Tablet","Calcium Carbonate 1500 MG Oral Tablet"
83,"Cholestyramine 4 GM/DOSE Oral Powder","Cholestyramine Resin 66.7 MG/ML Oral Suspension"
83,"DermOtic 0.01 % Otic Oil","Fluocinolone Acetonide 0.1 MG/ML Otic Solution [Dermotic]"
83,"Diltiazem HCl CR 120 MG Oral Capsule Extended Release 12 Hour","12 HR Diltiazem Hydrochloride 120 MG Extended Release Oral Capsule"
83,"Diltiazem HCl CR 120 MG Oral Capsule Extended Release 24 Hour","24 HR Diltiazem Hydrochloride 120 MG Extended Release Oral Capsule"
83,"Diltiazem HCl CR 180 MG Oral Capsule Extended Release 24 Hour","24 HR Diltiazem Hydrochloride 180 MG Extended Release Oral Capsule"
83,"Diltiazem HCl CR 240 MG Oral Capsule Extended Release 24 Hour","24 HR Diltiazem Hydrochloride 240 MG Extended Release Oral Capsule"
83,"Donepezil HCl 5 MG Oral Tablet Dispersible","Donepezil hydrochloride 5 MG Oral Tablet"
83,"Dr Smiths Diaper 10 % External Ointment","Zinc Oxide 0.1 MG/MG Topical Ointment [Dr. Smith's Diaper Rash]"
83,"E.E.S. Granules 200 MG/5ML Oral Suspension Reconstituted","Erythromycin Ethylsuccinate 40 MG/ML Oral Suspension [E.E.S.]"
83,"FLUoxetine HCl (PMDD) 10 MG Oral Capsule","Fluoxetine 10 MG Oral Capsule"
83,"Folic Acid 400 MCG Oral Tablet","Folic Acid 0.4 MG Oral Tablet"
83,"GNP Loratadine 10 MG Oral Tablet","Loratadine 10 MG Oral Tablet"
83,"Hyoscyamine 0.15 MG TABS","Hyoscyamine Sulfate 0.15 MG Oral Tablet"
83,"Hyper-Sal 7 % Inhalation Nebulization Solution","Sodium Chloride 1.2 MEQ/ML Inhalant Solution [Hyper-Sal]"
83,"Ipratropium Bromide 0.03 % Nasal Solution","345 ACTUAT Ipratropium Bromide 0.021 MG/ACTUAT Nasal Inhaler"
83,"Ipratropium Bromide 0.06 % Nasal Solution","165 ACTUAT Ipratropium Bromide 0.042 MG/ACTUAT Nasal Inhaler"
83,"Mirtazapine 30 MG Oral Tablet Dispersible","Mirtazapine 30 MG Oral Tablet"
83,"Nizoral A-D 1 % External Shampoo","Ketoconazole 10 MG/ML Medicated Shampoo [Nizoral]"
83,"Nystatin 100000 UNIT/GM External Cream","Nystatin 100000 UNT/ML Topical Cream"
83,"Nystatin 100000 UNIT/GM External Ointment","Nystatin 100 UNT/MG Topical Ointment"
83,"Ondansetron 4 MG Oral Tablet Dispersible","Ondansetron 4 MG Oral Tablet"
83,"Ondansetron 8 MG Oral Tablet Dispersible","Ondansetron 8 MG Oral Tablet"
83,"PrednisoLONE Sodium Phosphate 6.7 (5 Base) MG/5ML Oral Solution","prednisolone 1 MG/ML Oral Solution"
83,"Selenium Sulfide 2.5 % External Lotion","selenium sulfide 25 MG/ML Medicated Shampoo"
83,"Sodium Chloride 3 % Inhalation Nebulization Solution","Sodium Chloride 0.513 MEQ/ML Inhalant Solution"
83,"Sodium Polystyrene Sulfonate Oral Powder","Sodium polystyrene sulfonate 250 MG/ML Oral Suspension"
83,"Spiriva HandiHaler 18 MCG Inhalation Capsule","tiotropium 0.018 MG/ACTUAT Inhalant Powder [Spiriva]"
83,"Triamcinolone Acetonide 0.025 % External Cream","Triamcinolone Acetonide 0.25 MG/ML Topical Cream"
83,"Triamcinolone Acetonide 0.025 % External Lotion","Triamcinolone Acetonide 0.25 MG/ML Topical Lotion"
83,"Triamcinolone Acetonide 0.1 % External Cream","Triamcinolone Acetonide 1 MG/ML Topical Cream"
83,"Triamcinolone Acetonide 0.1 % External Lotion","Triamcinolone Acetonide 1 MG/ML Topical Lotion"
83,"Triamcinolone Acetonide 0.1 % External Ointment","Triamcinolone Acetonide 0.001 MG/MG Topical Ointment"
83,"Triamcinolone Acetonide 0.5 % External Cream","Triamcinolone Acetonide 5 MG/ML Topical Cream"
83,"Triamcinolone Acetonide 0.5 % External Ointment","Triamcinolone Acetonide 0.005 MG/MG Topical Ointment"
83,"Verapamil HCl CR 120 MG Oral Capsule Extended Release 24 Hour","24 HR Verapamil hydrochloride 120 MG Extended Release Oral Capsule"
83,"Verapamil HCl CR 240 MG Oral Capsule Extended Release 24 Hour","24 HR Verapamil hydrochloride 240 MG Extended Release Oral Capsule"
83,"Verapamil HCl CR 360 MG Oral Capsule Extended Release 24 Hour","24 HR Verapamil hydrochloride 360 MG Extended Release Oral Capsule"
83,"ZyrTEC Allergy 10 MG Oral Capsule","cetirizine hydrochloride 10 MG Oral Capsule [Zyrtec]"
85,"Amoxicillin-Pot Clavulanate 200-28.5 MG/5ML Oral Suspension Reconstituted","Amoxicillin 40 MG/ML / Clavulanate 5.7 MG/ML Oral Suspension"
85,"Ipratropium-Albuterol 0.5-2.5 (3) MG/3ML Inhalation Solution","Albuterol 0.833 MG/ML / Ipratropium Bromide 0.167 MG/ML Inhalant Solution"
85,"NIFEdipine CR Osmotic 30 MG Oral Tablet Extended Release 24 Hour","24 HR Nifedipine 30 MG Extended Release Oral Tablet [Afeditab CR]"
85,"NIFEdipine CR Osmotic 60 MG Oral Tablet Extended Release 24 Hour","24 HR Nifedipine 60 MG Extended Release Oral Tablet [Afeditab CR]"
86,"Actemra 400 MG/20ML Intravenous Solution","tocilizumab 20 MG/ML Injectable Solution [Actemra]"
86,"Atripla 600-200-300 MG Oral Tablet","efavirenz 600 MG / emtricitabine 200 MG / Tenofovir disoproxil fumarate 300 MG Oral Tablet [Atripla]"
86,"Augmentin 500-125 MG Oral Tablet","Amoxicillin 500 MG / Clavulanate 125 MG Oral Tablet [Augmentin]"
86,"Avalide 300-25 MG Oral Tablet","Hydrochlorothiazide 25 MG / irbesartan 300 MG Oral Tablet [Avalide]"
86,"Azelastine HCl 137 MCG/SPRAY Nasal Solution","200 ACTUAT Azelastine hydrochloride 0.137 MG/ACTUAT Nasal Inhaler"
86,"Azor 10-20 MG Oral Tablet","Amlodipine 10 MG / Olmesartan medoxomil 20 MG Oral Tablet [Azor]"
86,"Azor 10-40 MG Oral Tablet","Amlodipine 10 MG / Olmesartan medoxomil 40 MG Oral Tablet [Azor]"
86,"Azor 5-40 MG Oral Tablet","Amlodipine 5 MG / Olmesartan medoxomil 40 MG Oral Tablet [Azor]"
86,"Benzoyl Peroxide-Erythromycin 5-3 % External Gel","Benzoyl Peroxide 0.05 MG/MG / Erythromycin 0.03 MG/MG Topical Gel"
86,"Bismuth 262 MG Oral Tablet Chewable","bismuth subsalicylate 262 MG Chewable Tablet"
86,"Caduet 5-10 MG Oral Tablet","Amlodipine 5 MG / atorvastatin 10 MG Oral Tablet [Caduet]"
86,"Cetirizine HCl Childrens 1 MG/ML Oral Solution","cetirizine hydrochloride 1 MG/ML Oral Solution"
86,"Chloral Hydrate 500 MG/5ML Oral Syrup","Chloral Hydrate 100 MG/ML Oral Solution"
86,"Clindamycin Phos-Benzoyl Perox 1-5 % External Gel","Benzoyl Peroxide 0.05 MG/MG / Clindamycin 0.01 MG/MG Topical Gel"
86,"ClonazePAM 0.25 MG Oral Tablet Dispersible","Clonazepam 0.25 MG Oral Tablet"
86,"ClonazePAM 0.5 MG Oral Tablet Dispersible","Clonazepam 0.5 MG Oral Tablet"
86,"Clotrimazole-Betamethasone 1-0.05 % External Cream","Betamethasone 0.5 MG/ML / Clotrimazole 10 MG/ML Topical Cream"
86,"Combivir 150-300 MG Oral Tablet","Lamivudine 150 MG / Zidovudine 300 MG Oral Tablet [Combivir]"
86,"Enbrel 50 MG/ML Subcutaneous Solution","0.98 ML Etanercept 50 MG/ML Prefilled Syringe [Enbrel]"
86,"Epzicom 600-300 MG Oral Tablet","abacavir 600 MG / Lamivudine 300 MG Oral Tablet [Epzicom]"
86,"Exforge 10-160 MG Oral Tablet","Amlodipine 10 MG / valsartan 160 MG Oral Tablet [Exforge]"
86,"Exforge 10-320 MG Oral Tablet","Amlodipine 10 MG / valsartan 320 MG Oral Tablet [Exforge]"
86,"Exforge 5-160 MG Oral Tablet","Amlodipine 5 MG / valsartan 160 MG Oral Tablet [Exforge]"
86,"Exforge 5-320 MG Oral Tablet","Amlodipine 5 MG / valsartan 320 MG Oral Tablet [Exforge]"
86,"Fish Oil Concentrate 1000 MG Oral Capsule","docosahexaenoic acid 200 MG / Eicosapentaenoic Acid 300 MG / Vitamin E 1 UNT Oral Capsule"
86,"Fluconazole 10 MG/ML Oral Suspension Reconstituted","Fluconazole 10 MG/ML Oral Suspension"
86,"Glucagon Emergency 1 MG Injection Kit","Glucagon 1 MG/ML Injectable Solution"
86,"Hydrocortisone Ace-Pramoxine 1-1 % Rectal Cream","hydrocortisone acetate 10 MG/ML / Pramoxine hydrochloride 10 MG/ML Rectal Cream"
86,"Hyzaar 100-25 MG Oral Tablet","Hydrochlorothiazide 25 MG / Losartan Potassium 100 MG Oral Tablet [Hyzaar]"
86,"Janumet 50-1000 MG Oral Tablet","Metformin hydrochloride 1000 MG / sitagliptin 50 MG Oral Tablet [Janumet]"
86,"Janumet 50-500 MG Oral Tablet","Metformin hydrochloride 500 MG / sitagliptin 50 MG Oral Tablet [Janumet]"
86,"Kaletra 100-25 MG Oral Tablet","lopinavir 100 MG / Ritonavir 25 MG Oral Tablet [Kaletra]"
86,"Kaletra 200-50 MG Oral Tablet","lopinavir 200 MG / Ritonavir 50 MG Oral Tablet [Kaletra]"
86,"Kenalog 40 MG/ML Injection Suspension","Triamcinolone Acetonide 40 MG/ML Injectable Suspension [Kenalog]"
86,"LaMICtal 25 MG Oral Tablet Chewable","lamotrigine 25 MG Chewable Tablet [Lamictal]"
86,"Lotrel 10-40 MG Oral Capsule","Amlodipine 10 MG / Benazepril hydrochloride 40 MG Oral Capsule [Lotrel]"
86,"Malarone 250-100 MG Oral Tablet","Atovaquone 250 MG / proguanil hydrochloride 100 MG Oral Tablet [Malarone]"
86,"Melatonin 1 MG/4ML Oral Liquid","Melatonin 0.25 MG/ML Oral Solution"
86,"Nitrostat 0.3 MG Sublingual Tablet Sublingual","Nitroglycerin 0.3 MG Sublingual Tablet [Nitrostat]"
86,"Nitrostat 0.4 MG Sublingual Tablet Sublingual","Nitroglycerin 0.4 MG Sublingual Tablet [Nitrostat]"
86,"Norco 10-325 MG Oral Tablet","Acetaminophen 325 MG / Hydrocodone Bitartrate 10 MG Oral Tablet [Norco]"
86,"Nuedexta 20-10 MG Oral Capsule","Dextromethorphan Hydrobromide 20 MG / Quinidine Sulfate 10 MG Oral Capsule [Nuedexta]"
86,"Potassium Chloride 20 MEQ Oral Packet","Potassium Chloride 0.167 MEQ/ML Oral Solution"
86,"Promethazine VC/Codeine 6.25-5-10 MG/5ML Oral Syrup","Codeine Phosphate 2 MG/ML / Phenylephrine Hydrochloride 1 MG/ML / Promethazine Hydrochloride 1.25 MG/ML Oral Solution"
86,"Ranitidine HCl 75 MG/5ML Oral Syrup","Ranitidine 15 MG/ML Oral Solution"
86,"RisperiDONE 0.5 MG Oral Tablet Dispersible","Risperidone 0.5 MG Oral Tablet"
86,"Senna 8.6-50 MG Oral Tablet","sennosides, USP 8.6 MG Oral Tablet"
86,"Tamiflu 12 MG/ML Oral Suspension Reconstituted","Oseltamivir 12 MG/ML Oral Suspension [Tamiflu]"
86,"Tobramycin Sulfate 80 MG/2ML Injection Solution","Tobramycin 40 MG/ML Injectable Solution"
86,"Topamax Sprinkle 15 MG Oral Capsule Sprinkle","topiramate 15 MG Oral Capsule [Topamax]"
86,"Topamax Sprinkle 25 MG Oral Capsule Sprinkle","topiramate 25 MG Oral Capsule [Topamax]"
86,"Treximet 85-500 MG Oral Tablet","Naproxen sodium 500 MG / Sumatriptan 85 MG Oral Tablet [Treximet]"
86,"Truvada 200-300 MG Oral Tablet","emtricitabine 200 MG / Tenofovir disoproxil fumarate 300 MG Oral Tablet [Truvada]"
86,"Vicodin 5-500 MG Oral Tablet","Acetaminophen 500 MG / Hydrocodone Bitartrate 5 MG Oral Tablet [Vicodin]"
86,"Vitamin B-6 50 MG Oral Tablet","Vitamin B6 50 MG Oral Tablet"
86,"Vitamin D (Ergocalciferol) 50000 UNIT Oral Capsule","Ergocalciferol 50000 UNT Oral Capsule"
86,"Vytorin 10-10 MG Oral Tablet","ezetimibe 10 MG / Simvastatin 10 MG Oral Tablet [Vytorin]"
86,"Vytorin 10-20 MG Oral Tablet","ezetimibe 10 MG / Simvastatin 20 MG Oral Tablet [Vytorin]"
86,"Vytorin 10-40 MG Oral Tablet","ezetimibe 10 MG / Simvastatin 40 MG Oral Tablet [Vytorin]"
86,"Vytorin 10-80 MG Oral Tablet","ezetimibe 10 MG / Simvastatin 80 MG Oral Tablet [Vytorin]"
86,"Zegerid 40-1100 MG Oral Capsule","Omeprazole 40 MG / Sodium Bicarbonate 1100 MG Oral Capsule [Zegerid Reformulated Aug 2006]"
88,"Allegra Allergy Childrens 30 MG Oral Tablet","Fexofenadine hydrochloride 30 MG Disintegrating Oral Tablet [Allegra]"
88,"Amiloride-Hydrochlorothiazide 5-50 MG Oral Tablet","Amiloride Hydrochloride 5 MG / Hydrochlorothiazide 50 MG Oral Tablet"
88,"Amoxicillin 125 MG/5ML Oral Suspension Reconstituted","Amoxicillin 25 MG/ML Oral Suspension"
88,"Amoxicillin 250 MG/5ML Oral Suspension Reconstituted","Amoxicillin 50 MG/ML Oral Suspension"
88,"AndroGel 50 MG/5GM Transdermal Gel","5000 MG Testosterone 0.01 MG/MG Topical Gel [Androgel]"
88,"Apidra SoloStar 100 UNIT/ML Subcutaneous Solution","3 ML Insulin, Glulisine, Human 100 UNT/ML Prefilled Syringe [Apidra]"
88,"Atenolol-Chlorthalidone 100-25 MG Oral Tablet","Atenolol 100 MG / Chlorthalidone 25 MG Oral Tablet"
88,"Atenolol-Chlorthalidone 50-25 MG Oral Tablet","Atenolol 50 MG / Chlorthalidone 25 MG Oral Tablet"
88,"Avalide 150-12.5 MG Oral Tablet","Hydrochlorothiazide 12.5 MG / irbesartan 150 MG Oral Tablet [Avalide]"
88,"Avalide 300-12.5 MG Oral Tablet","Hydrochlorothiazide 12.5 MG / irbesartan 300 MG Oral Tablet [Avalide]"
88,"Azithromycin 100 MG/5ML Oral Suspension Reconstituted","Azithromycin 20 MG/ML Oral Suspension"
88,"Azithromycin 200 MG/5ML Oral Suspension Reconstituted","Azithromycin 40 MG/ML Oral Suspension"
88,"Bactrim DS 800-160 MG Oral Tablet","Sulfamethoxazole 800 MG / Trimethoprim 160 MG Oral Tablet [Bactrim]"
88,"Benazepril-Hydrochlorothiazide 20-25 MG Oral Tablet","Benazepril hydrochloride 20 MG / Hydrochlorothiazide 25 MG Oral Tablet"
88,"Benicar HCT 40-25 MG Oral Tablet","Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet [Benicar HCT]"
88,"Butalbital-APAP 50-325 MG Oral Tablet","Acetaminophen 325 MG / butalbital 50 MG Oral Tablet"
88,"Carbidopa-Levodopa 10-100 MG Oral Tablet","Carbidopa 10 MG / Levodopa 100 MG Oral Tablet"
88,"Carbidopa-Levodopa 25-100 MG Oral Tablet","Carbidopa 25 MG / Levodopa 100 MG Oral Tablet"
88,"Carbidopa-Levodopa 25-250 MG Oral Tablet","Carbidopa 25 MG / Levodopa 250 MG Oral Tablet"
88,"Carisoprodol-Aspirin 200-325 MG Oral Tablet","Aspirin 325 MG / Carisoprodol 200 MG Oral Tablet"
88,"Cefdinir 125 MG/5ML Oral Suspension Reconstituted","cefdinir 25 MG/ML Oral Suspension"
88,"Cefdinir 250 MG/5ML Oral Suspension Reconstituted","cefdinir 50 MG/ML Oral Suspension"
88,"Cephalexin 250 MG/5ML Oral Suspension Reconstituted","Cephalexin 50 MG/ML Oral Suspension"
88,"Chantix Continuing Month Pak 1 MG Oral Tablet","{56 (varenicline 1 MG Oral Tablet [Chantix]) } Pack [Chantix Continuing Months Of Therapy]"
88,"Childrens Loratadine 5 MG/5ML Oral Syrup","Loratadine 1 MG/ML Oral Solution"
88,"Clarinex 0.5 MG/ML Oral Syrup","desloratadine 0.5 MG/ML Oral Solution [Clarinex]"
88,"Clarithromycin 250 MG/5ML Oral Suspension Reconstituted","Clarithromycin 50 MG/ML Oral Suspension"
88,"Concerta 18 MG Oral Tablet Extended Release","24 HR Methylphenidate Hydrochloride 18 MG Extended Release Oral Tablet [Concerta]"
88,"Concerta 27 MG Oral Tablet Extended Release","24 HR Methylphenidate Hydrochloride 27 MG Extended Release Oral Tablet [Concerta]"
88,"Concerta 36 MG Oral Tablet Extended Release","24 HR Methylphenidate Hydrochloride 36 MG Extended Release Oral Tablet [Concerta]"
88,"Concerta 54 MG Oral Tablet Extended Release","24 HR Methylphenidate Hydrochloride 54 MG Extended Release Oral Tablet [Concerta]"
88,"Cymbalta 20 MG Oral Capsule Delayed Release Particles","duloxetine 20 MG Delayed Release Oral Capsule [Cymbalta]"
88,"Cymbalta 30 MG Oral Capsule Delayed Release Particles","duloxetine 30 MG Delayed Release Oral Capsule [Cymbalta]"
88,"Cymbalta 60 MG Oral Capsule Delayed Release Particles","duloxetine 60 MG Delayed Release Oral Capsule [Cymbalta]"
88,"Desmopressin Ace Rhinal Tube 0.01 % Nasal Solution","Desmopressin Acetate 0.1 MG/ML Nasal Solution"
88,"Diovan HCT 160-25 MG Oral Tablet","Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet [Diovan HCT]"
88,"Diovan HCT 320-25 MG Oral Tablet","Hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet [Diovan HCT]"
88,"Doc-Q-Lace 100 MG Oral Capsule","Docusate Sodium 100 MG Oral Capsule"
88,"Enalapril-Hydrochlorothiazide 10-25 MG Oral Tablet","Enalapril Maleate 10 MG / Hydrochlorothiazide 25 MG Oral Tablet"
88,"Enulose 10 GM/15ML Oral Solution","Lactulose 667 MG/ML Oral Solution [Enulose]"
88,"Ergotamine-Caffeine 1-100 MG Oral Tablet","Caffeine 100 MG / Ergotamine Tartrate 1 MG Oral Tablet"
88,"Estrace 0.1 MG/GM Vaginal Cream","Estradiol 0.1 MG/ML Vaginal Cream [Estrace]"
88,"Exforge HCT 10-320-25 MG Oral Tablet","Amlodipine 10 MG / Hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet [Exforge HCT]"
88,"Famotidine 40 MG/5ML Oral Suspension Reconstituted","Famotidine 8 MG/ML Oral Suspension"
88,"Generlac 10 GM/15ML Oral Solution","Lactulose 667 MG/ML Oral Solution [Generlac]"
88,"Gianvi 3-0.02 MG Oral Tablet","{24 (drospirenone 3 MG / Ethinyl Estradiol 0.02 MG Oral Tablet) / 4 (Inert Ingredients 1 MG Oral Tablet) } Pack [Gianvi 28-Day]"
88,"GlipiZIDE-MetFORMIN HCl 5-500 MG Oral Tablet","Glipizide 5 MG / Metformin hydrochloride 500 MG Oral Tablet"
88,"GlyBURIDE-MetFORMIN 5-500 MG Oral Tablet","Glyburide 5 MG / Metformin hydrochloride 500 MG Oral Tablet"
88,"GNP Aspirin 325 MG Oral Tablet Delayed Release","Aspirin 325 MG Delayed Release Oral Tablet"
88,"Guiatuss 100 MG/5ML Oral Syrup","Guaifenesin 20 MG/ML Oral Solution [Guiatuss]"
88,"Hydrocodone-Acetaminophen 10-325 MG Oral Tablet","Acetaminophen 325 MG / Hydrocodone Bitartrate 10 MG Oral Tablet"
88,"Hydrocodone-Acetaminophen 10-500 MG Oral Tablet","Acetaminophen 500 MG / Hydrocodone Bitartrate 10 MG Oral Tablet"
88,"Hydrocodone-Acetaminophen 10-650 MG Oral Tablet","Acetaminophen 650 MG / Hydrocodone Bitartrate 10 MG Oral Tablet"
88,"Hydrocodone-Acetaminophen 5-325 MG Oral Tablet","Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet"
88,"Hydrocodone-Acetaminophen 5-500 MG Oral Tablet","Acetaminophen 500 MG / Hydrocodone Bitartrate 5 MG Oral Tablet"
88,"Hyzaar 50-12.5 MG Oral Tablet","Hydrochlorothiazide 12.5 MG / Losartan Potassium 50 MG Oral Tablet [Hyzaar]"
88,"Kionex 15 GM/60ML Oral Suspension","Sodium polystyrene sulfonate 250 MG/ML Oral Suspension [Kionex]"
88,"Lactulose 20 GM/30ML Oral Solution","Lactulose 667 MG/ML Oral Solution"
88,"Lantus SoloStar 100 UNIT/ML Subcutaneous Solution","3 ML Insulin Glargine 100 UNT/ML Prefilled Syringe [Lantus]"
88,"LevOCARNitine 1 GM/10ML Oral Solution","Levocarnitine 100 MG/ML Oral Solution"
88,"Lidocaine-Hydrocortisone Ace 3-2.5 % Rectal Kit","hydrocortisone acetate 0.025 MG/MG / Lidocaine Hydrochloride 0.03 MG/MG Rectal Gel"
88,"Lidocaine-Prilocaine 2.5-2.5 % External Cream","Lidocaine 25 MG/ML / Prilocaine 25 MG/ML Topical Cream"
88,"Lisinopril-Hydrochlorothiazide 20-25 MG Oral Tablet","Hydrochlorothiazide 25 MG / Lisinopril 20 MG Oral Tablet"
88,"Loratadine Allergy Relief 10 MG Oral Tablet Dispersible","Loratadine 10 MG Oral Tablet"
88,"Metoclopramide HCl 10 MG/10ML Oral Solution","Metoclopramide 1 MG/ML Oral Solution"
88,"Metoprolol-Hydrochlorothiazide 100-25 MG Oral Tablet","Hydrochlorothiazide 25 MG / Metoprolol Tartrate 100 MG Oral Tablet"
88,"Metoprolol-Hydrochlorothiazide 100-50 MG Oral Tablet","Hydrochlorothiazide 50 MG / Metoprolol Tartrate 100 MG Oral Tablet"
88,"Metoprolol-Hydrochlorothiazide 50-25 MG Oral Tablet","Hydrochlorothiazide 25 MG / Metoprolol Tartrate 50 MG Oral Tablet"
88,"Micardis HCT 80-25 MG Oral Tablet","Hydrochlorothiazide 25 MG / telmisartan 80 MG Oral Tablet [Micardis-HCT]"
88,"MyKidz Iron 10 MG/2ML Oral Suspension","ferrous sulfate 10 MG/ML Oral Suspension [MyKidz Iron]"
88,"Niaspan 1000 MG Oral Tablet Extended Release","24 HR Niacin 1000 MG Extended Release Oral Tablet [Niaspan]"
88,"Ocella 3-0.03 MG Oral Tablet","{21 (drospirenone 3 MG / Ethinyl Estradiol 0.03 MG Oral Tablet) / 7 (Inert Ingredients 1 MG Oral Tablet) } Pack [Ocella 28 Day]"
88,"Oxycodone-Acetaminophen 5-325 MG Oral Tablet","Acetaminophen 325 MG / Oxycodone Hydrochloride 5 MG Oral Tablet"
88,"Propranolol-HCTZ 80-25 MG Oral Tablet","Hydrochlorothiazide 25 MG / Propranolol Hydrochloride 80 MG Oral Tablet"
88,"PX Omeprazole 20 MG Oral Tablet Delayed Release","Omeprazole 20 MG Delayed Release Oral Tablet"
88,"Quinapril-Hydrochlorothiazide 20-25 MG Oral Tablet","Hydrochlorothiazide 25 MG / quinapril 20 MG Oral Tablet"
88,"Spironolactone-HCTZ 25-25 MG Oral Tablet","Hydrochlorothiazide 25 MG / Spironolactone 25 MG Oral Tablet"
88,"Sulfamethoxazole-Trimethoprim 400-80 MG Oral Tablet","Sulfamethoxazole 400 MG / Trimethoprim 80 MG Oral Tablet"
88,"Tandem 162-115.2 MG Oral Capsule","Ferrous fumarate 162 MG / Polysaccharide iron complex 115 MG Oral Capsule [TANDEM]"
88,"Tekturna HCT 150-25 MG Oral Tablet","aliskiren 150 MG / Hydrochlorothiazide 25 MG Oral Tablet [Tekturna HCT]"
88,"Tobi 300 MG/5ML Inhalation Nebulization Solution","Tobramycin 60 MG/ML Inhalant Solution [Tobi]"
88,"Triamterene-HCTZ 75-50 MG Oral Tablet","Hydrochlorothiazide 50 MG / Triamterene 75 MG Oral Tablet"
88,"YAZ 3-0.02 MG Oral Tablet","{24 (drospirenone 3 MG / Ethinyl Estradiol 0.02 MG Oral Tablet) / 4 (Inert Ingredients 1 MG Oral Tablet) } Pack [Yaz 28 Day]"
88,"Zarah 3-0.03 MG Oral Tablet","{21 (drospirenone 3 MG / Ethinyl Estradiol 0.03 MG Oral Tablet) / 7 (Inert Ingredients 1 MG Oral Tablet) } Pack [Zarah]"
88,"Zestoretic 10-12.5 MG Oral Tablet","Hydrochlorothiazide 12.5 MG / Lisinopril 10 MG Oral Tablet [Zestoretic]"
89,"Activella 0.5-0.1 MG Oral Tablet","{28 (Estradiol 0.5 MG / norethindrone acetate 0.1 MG Oral Tablet) } Pack [Activella 0.5/0.1 28 Day]"
89,"Albuterol Sulfate 0.63 MG/3ML Inhalation Nebulization Solution","Albuterol 0.21 MG/ML Inhalant Solution"
89,"Albuterol Sulfate 1.25 MG/3ML Inhalation Nebulization Solution","Albuterol 0.417 MG/ML Inhalant Solution"
89,"Amoxicillin-Pot Clavulanate 250-125 MG Oral Tablet","Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet"
89,"Amoxicillin-Pot Clavulanate 500-125 MG Oral Tablet","Amoxicillin 500 MG / Clavulanate 125 MG Oral Tablet"
89,"Amoxicillin-Pot Clavulanate 875-125 MG Oral Tablet","Amoxicillin 875 MG / Clavulanate 125 MG Oral Tablet"
89,"AndroGel 25 MG/2.5GM Transdermal Gel","2500 MG Testosterone 0.01 MG/MG Topical Gel [Androgel]"
89,"Antipyrine-Benzocaine 54-14 MG/ML Otic Solution","Antipyrine 54 MG/ML / Benzocaine 14 MG/ML Otic Solution"
89,"Atacand HCT 32-12.5 MG Oral Tablet","candesartan cilexetil 32 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Atacand HCT]"
89,"Benazepril-Hydrochlorothiazide 10-12.5 MG Oral Tablet","Benazepril hydrochloride 10 MG / Hydrochlorothiazide 12.5 MG Oral Tablet"
89,"Benazepril-Hydrochlorothiazide 20-12.5 MG Oral Tablet","Benazepril hydrochloride 20 MG / Hydrochlorothiazide 12.5 MG Oral Tablet"
89,"Benicar HCT 20-12.5 MG Oral Tablet","Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 20 MG Oral Tablet [Benicar HCT]"
89,"Benicar HCT 40-12.5 MG Oral Tablet","Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG Oral Tablet [Benicar HCT]"
89,"Bisacodyl Laxative 5 MG Oral Tablet Delayed Release","Bisacodyl 5 MG Delayed Release Oral Tablet"
89,"Bisoprolol-Hydrochlorothiazide 10-6.25 MG Oral Tablet","Bisoprolol Fumarate 10 MG / Hydrochlorothiazide 6.25 MG Oral Tablet"
89,"Bisoprolol-Hydrochlorothiazide 5-6.25 MG Oral Tablet","Bisoprolol Fumarate 5 MG / Hydrochlorothiazide 6.25 MG Oral Tablet"
