"medication","medication_definition_id","indications","rxcui","score","rank","nAtoms","name","synonym","tty","language","suppress","umlscui","ttypriority"
"Clarinex-D 24 Hour 5-240 MG Oral Tablet Extended Release 24 Hour",122752,1,1112260,81,1,5,"24 HR desloratadine 5 MG / Pseudoephedrine sulfate 240 MG Extended Release Oral Tablet [Clarinex-D]","Clarinex-D (desloratadine 5 MG / pseudoephedrine sulfate 240 MG) 24 HR Extended Release Oral Tablet","SBD","ENG","N","C1613760",2
"Clarithromycin 250 MG Oral Tablet",123177,3,197516,100,1,14,"Clarithromycin 250 MG Oral Tablet","","SCD","ENG","N","C0688349",1
"Clarithromycin 250 MG/5ML Oral Suspension Reconstituted",123430,1,309322,88,1,17,"Clarithromycin 50 MG/ML Oral Suspension","clarithromycin 250 MG per 5 ML Oral Suspension","SCD","ENG","N","C0975693",1
"Clarithromycin 500 MG Oral Tablet",123036,20,197517,100,1,20,"Clarithromycin 500 MG Oral Tablet","","SCD","ENG","N","C0688351",1
"Clarithromycin 500 MG Oral Tablet Extended Release 24 Hour",134099,4,359385,100,1,12,"24 HR Clarithromycin 500 MG Extended Release Oral Tablet","clarithromycin 500 MG 24 HR Extended Release Oral Tablet","SCD","ENG","N","C1177547",1
"Claritin 10 MG Oral Capsule",150034,4,836338,100,1,6,"Loratadine 10 MG Oral Capsule [Claritin]","Claritin 10 MG Oral Capsule","SBD","ENG","N","C2610007",2
"Claritin 5 MG Oral Tablet Chewable",135135,1,668469,100,1,9,"Loratadine 5 MG Chewable Tablet [Claritin]","Claritin 5 MG Chewable Tablet","SBD","ENG","N","C1813179",2
"Claritin Reditabs 10 MG Oral Tablet Dispersible",29278,1,744830,75,1,7,"Loratadine 10 MG Disintegrating Oral Tablet [Claritin]","Claritin 10 MG Disintegrating Oral Tablet","SBD","ENG","N","C0716465",2
"Claritin-D 12 Hour 5-120 MG Oral Tablet Extended Release 12 Hour",28792,4,1242406,81,1,9,"12 HR Loratadine 5 MG / Pseudoephedrine sulfate 120 MG Extended Release Oral Tablet [Claritin-D]","Claritin-D (loratadine 5 MG / pseudoephedrine sulfate 120 MG) 12 HR Extended Release Oral Tablet","SBD","ENG","N","C0711112",2
"Cleocin 100 MG Vaginal Suppository",97874,1,882533,100,1,7,"Clindamycin 100 MG Vaginal Suppository [Cleocin]","Cleocin 100 MG Vaginal Suppository","SBD","ENG","N","C0938957",2
"Cleocin 75 MG/5ML Oral Solution Reconstituted",139200,1,748743,78,1,10,"Clindamycin 15 MG/ML Oral Solution [Cleocin]","Cleocin 15 MG/ML Oral Solution","SBD","ENG","N","C0706943",2
"Clidinium-Chlordiazepoxide 2.5-5 MG Oral Capsule",13638,1,889614,89,1,17,"Chlordiazepoxide Hydrochloride 5 MG / Clidinium bromide 2.5 MG Oral Capsule","","SCD","ENG","N","C0975525",1
"Climara Pro 0.045-0.015 MG/DAY Transdermal Patch Weekly",115213,1,402252,82,1,9,"168 HR Estradiol 0.00188 MG/HR / Levonorgestrel 0.000625 MG/HR Transdermal Patch [Climara Pro]","Climara Pro (estradiol 0.045 MG / levonorgestrel 0.015 MG) per 24HR Weekly Transdermal Patch","SBD","ENG","N","C1321189",2
"Clindamycin HCl 150 MG Oral Capsule",13640,4,197518,100,1,50,"Clindamycin 150 MG Oral Capsule","clindamycin (as clindamycin hydrochloride) 150 MG Oral Capsule","SCD","ENG","N","C0688354",1
"Clindamycin HCl 300 MG Oral Capsule",97553,30,284215,100,1,41,"Clindamycin 300 MG Oral Capsule","clindamycin (as clindamycin hydrochloride) 300 MG Oral Capsule","SCD","ENG","N","C0938699",1
"Clindamycin Palmitate HCl 75 MG/5ML Oral Solution Reconstituted",158560,9,562266,89,1,14,"Clindamycin 15 MG/ML Oral Solution","clindamycin 75 MG per 5 ML Powder for Oral Solution","SCD","ENG","N","C1591225",1
"Clindamycin Phos-Benzoyl Perox 1-5 % External Gel",153656,2,358917,86,1,13,"Benzoyl Peroxide 0.05 MG/MG / Clindamycin 0.01 MG/MG Topical Gel","benzoyl peroxide 5 % / clindamycin 1 % Topical Gel","SCD","ENG","N","C1177066",1
"Clindamycin Phosphate 1 % External Gel",97554,1,309332,75,1,19,"Clindamycin 0.01 MG/MG Topical Gel","clindamycin 1 % Topical Gel","SCD","ENG","N","C0975704",1
"Clindamycin Phosphate 1 % External Lotion",100517,2,197519,75,1,19,"Clindamycin 10 MG/ML Topical Lotion","clindamycin 1 % Topical Lotion","SCD","ENG","N","C0688360",1
"Clindamycin Phosphate 1 % External Solution",14369,1,309333,75,1,20,"Clindamycin 10 MG/ML Topical Solution","clindamycin 1 % Topical Solution","SCD","ENG","N","C0975705",1
"Clindamycin Phosphate 2 % Vaginal Cream",133579,4,309337,100,1,16,"Clindamycin 20 MG/ML Vaginal Cream","clindamycin 2 % Vaginal Cream","SCD","ENG","N","C0975710",1
"Clobetasol Propionate 0.05 % External Cream",26361,3,861495,80,1,18,"Clobetasol Propionate 0.5 MG/ML Topical Cream","clobetasol propionate 0.05 % Topical Cream","SCD","ENG","N","C1590998",1
"Clobetasol Propionate 0.05 % External Foam",142307,1,861353,80,1,19,"Clobetasol Propionate 0.5 MG/ML Topical Foam","clobetasol propionate 0.05 % Topical Foam","SCD","ENG","N","C0981379",1
"Clobetasol Propionate 0.05 % External Solution",19597,1,861487,80,1,12,"Clobetasol Propionate 0.5 MG/ML Topical Solution","clobetasol propionate 0.05 % Topical Solution","SCD","ENG","N","C1591231",1
"Clobetasol Propionate E 0.05 % External Cream",104251,1,861495,67,1,18,"Clobetasol Propionate 0.5 MG/ML Topical Cream","clobetasol propionate 0.05 % Topical Cream","SCD","ENG","N","C1590998",1
"Clomid 50 MG Oral Tablet",14374,1,1093073,100,1,5,"Clomiphene Citrate 50 MG Oral Tablet [Clomid]","Clomid 50 MG Oral Tablet","SBD","ENG","N","C0698578",2
"ClomiPHENE Citrate 50 MG Oral Tablet",14375,13,1093060,100,1,15,"Clomiphene Citrate 50 MG Oral Tablet","","SCD","ENG","N","C0688369",1
"ClomiPRAMINE HCl 25 MG Oral Capsule",26363,1,857297,100,1,16,"Clomipramine Hydrochloride 25 MG Oral Capsule","","SCD","ENG","N","C0688370",1
"ClomiPRAMINE HCl 50 MG Oral Capsule",14376,1,857301,100,1,16,"Clomipramine Hydrochloride 50 MG Oral Capsule","","SCD","ENG","N","C0688371",1
"ClonazePAM 0.125 MG Oral Tablet Dispersible",157878,2,349194,75,1,11,"Clonazepam 0.125 MG Disintegrating Oral Tablet","","SCD","ENG","N","C1164729",1
"ClonazePAM 0.25 MG Oral Tablet Dispersible",157818,4,204892,86,1,4,"Clonazepam 0.25 MG Oral Tablet","","SCD","ENG","N","C0704895",1
"ClonazePAM 0.5 MG Oral Tablet",19598,56,197527,100,1,37,"Clonazepam 0.5 MG Oral Tablet","","SCD","ENG","N","C0688373",1
"ClonazePAM 0.5 MG Oral Tablet Dispersible",157805,1,197527,86,1,37,"Clonazepam 0.5 MG Oral Tablet","","SCD","ENG","N","C0688373",1
"ClonazePAM 1 MG Oral Tablet",26365,26,197528,100,1,39,"Clonazepam 1 MG Oral Tablet","","SCD","ENG","N","C0688374",1
"ClonazePAM 2 MG Oral Tablet",26366,4,197529,100,1,28,"Clonazepam 2 MG Oral Tablet","","SCD","ENG","N","C0688375",1
"CloNIDine HCl 0.1 MG Oral Tablet",13648,16,884173,100,1,47,"Clonidine Hydrochloride 0.1 MG Oral Tablet","clonidine hydrochloride 100 MCG Oral Tablet","SCD","ENG","N","C0975732",1
"CloNIDine HCl 0.1 MG/24HR Transdermal Patch Weekly",154811,2,998671,90,1,13,"168 HR Clonidine 0.00417 MG/HR Transdermal Patch","clonidine hydrochloride 0.1 MG/Day Weekly Transdermal Patch","SCD","ENG","N","C0981326",1
"CloNIDine HCl 0.2 MG Oral Tablet",13649,4,884185,100,1,31,"Clonidine Hydrochloride 0.2 MG Oral Tablet","clonidine hydrochloride 200 MCG Oral Tablet","SCD","ENG","N","C0975734",1
"CloNIDine HCl 0.2 MG/24HR Transdermal Patch Weekly",154812,3,998675,90,1,14,"168 HR Clonidine 0.00833 MG/HR Transdermal Patch","clonidine hydrochloride 0.2 MG/Day Weekly Transdermal Patch","SCD","ENG","N","C0772636",1
"CloNIDine HCl 0.3 MG Oral Tablet",13650,3,884189,100,1,26,"Clonidine Hydrochloride 0.3 MG Oral Tablet","clonidine hydrochloride 300 MCG Oral Tablet","SCD","ENG","N","C0975737",1
"CloNIDine HCl 0.3 MG/24HR Transdermal Patch Weekly",154813,4,998679,90,1,13,"168 HR Clonidine 0.0125 MG/HR Transdermal Patch","clonidine hydrochloride 0.3 MG/Day Weekly Transdermal Patch","SCD","ENG","N","C0975730",1
"Clonidine Patch",133930,2,376862,67,1,2,"Clonidine Transdermal Patch","","SCDF","ENG","N","C1251058",3
"Clotrimazole 1 % External Cream",13652,16,309367,75,1,10,"Clotrimazole 10 MG/ML Topical Cream","clotrimazole 1 % Topical Cream","SCD","ENG","N","C0975746",1
"Clotrimazole 1 % External Solution",14380,1,309370,75,1,16,"Clotrimazole 10 MG/ML Topical Solution","clotrimazole 1 % Topical Solution","SCD","ENG","N","C0975750",1
"Clotrimazole 10 MG Mouth/Throat Troche",128373,1,309371,67,1,15,"Clotrimazole 10 MG Oral Lozenge","","SCD","ENG","N","C0975752",1
"Clotrimazole AF 1 % External Cream",22418,2,309367,60,1,10,"Clotrimazole 10 MG/ML Topical Cream","clotrimazole 1 % Topical Cream","SCD","ENG","N","C0975746",1
"Clotrimazole Anti-Fungal 1 % External Cream",21707,1,309367,50,1,11,"Clotrimazole 10 MG/ML Topical Cream","clotrimazole 1 % Topical Cream","SCD","ENG","N","C0975746",1
"Clotrimazole-Betamethasone 1-0.05 % External Cream",98450,13,308714,86,1,16,"Betamethasone 0.5 MG/ML / Clotrimazole 10 MG/ML Topical Cream","betamethasone 0.05 % / clotrimazole 1 % Topical Cream","SCD","ENG","N","C0974947",1
"Clotrimazole-Betamethasone 1-0.05 % External Lotion",122930,2,308715,75,1,14,"Betamethasone 0.5 MG/ML / Clotrimazole 10 MG/ML Topical Lotion","betamethasone 0.05 % (betamethasone dipropionate 0.64 % ) / clotrimazole 1 % Topical Lotion","SCD","ENG","N","C0974948",1
"Coenzyme Q-10 100 MG Oral Capsule",150297,1,830520,75,1,2,"Ubiquinone 400 MG Oral Capsule","Co Q-10 400 MG Oral Capsule","SCD","ENG","N","C2586824",1
"Coenzyme Q-10 400 MG Oral Capsule",150295,1,830520,100,1,2,"Ubiquinone 400 MG Oral Capsule","Co Q-10 400 MG Oral Capsule","SCD","ENG","N","C2586824",1
"Coenzyme Q10 100 MG Oral Capsule",30833,2,252761,100,1,7,"coenzyme Q10 100 MG Oral Capsule","CoQ-10 100 MG Oral Capsule","SCD","ENG","N","C0795039",1
"Coenzyme Q10 200 MG Oral Tablet",25134,1,241622,100,1,3,"coenzyme Q10 200 MG Oral Tablet","CoQ-10 200 MG Oral Tablet","SCD","ENG","N","C0779731",1
"Coenzyme Q10 30 MG/5ML Oral Liquid",100625,1,259121,100,1,3,"coenzyme Q10 6 MG/ML Oral Solution","CoQ-10 6 MG/ML Oral Solution","SCD","ENG","N","C0872660",1
"Colace 100 MG Oral Capsule",14538,2,1247756,100,1,11,"Docusate Sodium 100 MG Oral Capsule [Colace]","Colace 100 MG Oral Capsule","SBD","ENG","N","C0711644",2
"Colace 50 MG Oral Capsule",14539,1,1247761,100,1,12,"Docusate Sodium 50 MG Oral Capsule [Colace]","Colace 50 MG Oral Capsule","SBD","ENG","N","C0711673",2
"Colazal 750 MG Oral Capsule",98365,1,885859,100,1,8,"Balsalazide disodium 750 MG Oral Capsule [Colazal]","Colazal 750 MG Oral Capsule","SBD","ENG","N","C0938999",2
"Colchicine 0.6 MG TABS",13728,4,197541,100,1,16,"Colchicine 0.6 MG Oral Tablet","colchicine 600 MCG Oral Tablet","SCD","ENG","N","C0688408",1
"Colcrys 0.6 MG Oral Tablet",153592,8,858071,100,1,15,"Colchicine 0.6 MG Oral Tablet [Colcrys]","Colcrys 0.6 MG Oral Tablet","SBD","ENG","N","C2718495",2
"Colestipol HCl 1 GM Oral Tablet",136139,1,1048445,100,1,15,"Colestipol Hydrochloride 1000 MG Oral Tablet","colestipol 1 GM Oral Tablet","SCD","ENG","N","C0975892",1
"Colistimethate Sodium 150 MG Injection Solution Reconstituted",26370,2,1117522,75,1,10,"Colistin 75 MG/ML Injectable Solution","colistin (as colistimethate sodium) 75 MG/ML Injectable Solution","SCD","ENG","N","C0975896",1
"CombiPatch 0.05-0.14 MG/DAY Transdermal Patch Biweekly",24658,1,1251493,58,1,2,"84 HR Estradiol 0.00208 MG/HR / norethindrone acetate 0.00583 MG/HR Transdermal Patch","estradiol 0.00208 MG / norethindrone acetate 0.00583 MG per HR 84 HR Transdermal Patch","SCD","ENG","N","C0781218",1
"Combivent 18-103 MCG/ACT Inhalation Aerosol",28999,11,836366,67,1,7,"200 ACTUAT Albuterol 0.09 MG/ACTUAT / Ipratropium Bromide 0.018 MG/ACTUAT Metered Dose Inhaler [Combivent]","Combivent (albuterol 0.09 MG/ACTUAT / ipratropium bromide 0.018 MG/ACTUAT) Metered Dose Inhaler, 200 ACTUAT","SBD","ENG","N","C1971016",2
"Combivir 150-300 MG Oral Tablet",30018,2,213088,86,1,16,"Lamivudine 150 MG / Zidovudine 300 MG Oral Tablet [Combivir]","3TC 150 MG / AZT 300 MG Oral Tablet [Combivir]","SBD","ENG","N","C0716066",2
"Comtan 200 MG Oral Tablet",25539,1,261318,100,1,8,"entacapone 200 MG Oral Tablet [Comtan]","Comtan 200 MG Oral Tablet","SBD","ENG","N","C0875808",2
"Concerta 18 MG Oral Tablet Extended Release",98108,4,1091157,88,1,11,"24 HR Methylphenidate Hydrochloride 18 MG Extended Release Oral Tablet [Concerta]","24 HR Concerta 18 MG Extended Release Oral Tablet","SBD","ENG","N","C0939004",2
"Concerta 27 MG Oral Tablet Extended Release",100722,5,1091172,88,1,11,"24 HR Methylphenidate Hydrochloride 27 MG Extended Release Oral Tablet [Concerta]","24 HR Concerta 27 MG Extended Release Oral Tablet","SBD","ENG","N","C1169800",2
"Concerta 36 MG Oral Tablet Extended Release",98109,4,1091187,88,1,11,"24 HR Methylphenidate Hydrochloride 36 MG Extended Release Oral Tablet [Concerta]","24 HR Concerta 36 MG Extended Release Oral Tablet","SBD","ENG","N","C0939654",2
"Concerta 54 MG Oral Tablet Extended Release",98425,3,1091212,88,1,11,"24 HR Methylphenidate Hydrochloride 54 MG Extended Release Oral Tablet [Concerta]","24 HR Concerta 54 MG Extended Release Oral Tablet","SBD","ENG","N","C0939108",2
"Condylox 0.5 % External Gel",23671,1,351750,67,1,8,"podofilox 0.005 MG/MG Topical Gel [Condylox]","Condylox 0.5 % Topical Gel","SBD","ENG","N","C1169341",2
"Copaxone 20 MG/ML Subcutaneous Kit",100818,2,1111642,100,1,8,"1 ML glatiramer acetate 20 MG/ML Prefilled Syringe [Copaxone]","1 ML Copaxone 20 MG/ML Prefilled Syringe","SBD","ENG","N","C1877583",2
"Coreg 25 MG Oral Tablet",23800,1,212390,100,1,10,"carvedilol 25 MG Oral Tablet [Coreg]","Coreg 25 MG Oral Tablet","SBD","ENG","N","C0715177",2
"Coreg CR 10 MG Oral Capsule Extended Release 24 Hour",136270,2,860512,100,1,9,"24 HR carvedilol phosphate 10 MG Extended Release Oral Capsule [Coreg]","24 HR Coreg 10 MG Extended Release Oral Capsule","SBD","ENG","N","C1812871",2
"Coreg CR 20 MG Oral Capsule Extended Release 24 Hour",136088,3,860518,100,1,9,"24 HR carvedilol phosphate 20 MG Extended Release Oral Capsule [Coreg]","24 HR Coreg 20 MG Extended Release Oral Capsule","SBD","ENG","N","C1812875",2
"Coreg CR 40 MG Oral Capsule Extended Release 24 Hour",136190,3,860524,100,1,9,"24 HR carvedilol phosphate 40 MG Extended Release Oral Capsule [Coreg]","24 HR Coreg 40 MG Extended Release Oral Capsule","SBD","ENG","N","C1812879",2
"Coreg CR 80 MG Oral Capsule Extended Release 24 Hour",136160,1,860534,100,1,9,"24 HR carvedilol phosphate 80 MG Extended Release Oral Capsule [Coreg]","24 HR Coreg 80 MG Extended Release Oral Capsule","SBD","ENG","N","C1812883",2
"Cortef 10 MG Oral Tablet",14686,2,208712,100,1,7,"Hydrocortisone 10 MG Oral Tablet [Cortef]","Cortef 10 MG Oral Tablet","SBD","ENG","N","C0710322",2
"Cortef 5 MG Oral Tablet",13832,2,208680,100,1,7,"Hydrocortisone 5 MG Oral Tablet [Cortef]","Cortef 5 MG Oral Tablet","SBD","ENG","N","C0710288",2
"Cortic-ND 10-10-1 MG/ML Otic Solution",101367,1,1293874,58,1,4,"chloroxylenol 1 MG/ML / Hydrocortisone 10 MG/ML / Pramoxine hydrochloride 10 MG/ML Otic Solution","chloroxylenol 0.1 % / hydrocortisone 1 % / pramoxine hydrochloride 1 % Otic Solution","SCD","ENG","N","C1164484",1
"Cortisporin-TC 3.3-3-10-0.5 MG/ML Otic Suspension",30367,2,854997,75,1,9,"Colistin 3 MG/ML / Hydrocortisone 10 MG/ML / Neomycin 3.3 MG/ML / THONZONIUM BROMIDE 0.5 MG/ML Otic Suspension [Cortisporin-TC]","Cortisporin-TC (colistin 0.3 % / hydrocortisone 1 % / neomycin 0.33 % / thonzonium bromide 0.05 % ) Otic Suspension","SBD","ENG","N","C0875538",2
"Coumadin 5 MG Oral Tablet",808,1,855334,100,1,6,"Warfarin Sodium 5 MG Oral Tablet [Coumadin]","Coumadin 5 MG Oral Tablet","SBD","ENG","N","C0710780",2
"Cozaar 100 MG Oral Tablet",30773,2,979482,100,1,13,"Losartan Potassium 100 MG Oral Tablet [Cozaar]","Cozaar 100 MG Oral Tablet","SBD","ENG","N","C0875689",2
"Cozaar 25 MG Oral Tablet",21762,2,979487,100,1,11,"Losartan Potassium 25 MG Oral Tablet [Cozaar]","Cozaar 25 MG Oral Tablet","SBD","ENG","N","C0707312",2
"Cozaar 50 MG Oral Tablet",27748,3,979494,100,1,11,"Losartan Potassium 50 MG Oral Tablet [Cozaar]","Cozaar 50 MG Oral Tablet","SBD","ENG","N","C0361503",2
"Creon 12000 UNIT Oral Capsule Delayed Release Particles",152836,5,863841,67,1,6,"Amylases 60000 UNT / Endopeptidases 38000 UNT / Lipase 12000 UNT Delayed Release Oral Capsule [Creon]","Creon 12 Delayed Release Oral Capsule","SBD","ENG","N","C2710010",2
"Creon 24000 UNIT Oral Capsule Delayed Release Particles",152817,1,863829,67,1,5,"Amylases 120000 UNT / Endopeptidases 76000 UNT / Lipase 24000 UNT Delayed Release Oral Capsule [Creon]","Creon 24 Delayed Release Oral Capsule","SBD","ENG","N","C2710003",2
"Creon 6000 UNIT Oral Capsule Delayed Release Particles",152864,3,863836,67,1,5,"Amylases 30000 UNT / Endopeptidases 19000 UNT / Lipase 6000 UNT Delayed Release Oral Capsule [Creon]","Creon 6 Delayed Release Oral Capsule","SBD","ENG","N","C2710006",2
"Crestor 10 MG Oral Tablet",113899,6,859749,100,1,7,"Rosuvastatin calcium 10 MG Oral Tablet [Crestor]","Crestor 10 MG Oral Tablet","SBD","ENG","N","C1329650",2
"Crestor 20 MG Oral Tablet",114165,6,859753,100,1,7,"Rosuvastatin calcium 20 MG Oral Tablet [Crestor]","Crestor 20 MG Oral Tablet","SBD","ENG","N","C1329651",2
"Crestor 40 MG Oral Tablet",114353,4,859421,100,1,10,"Rosuvastatin calcium 40 MG Oral Tablet [Crestor]","Crestor 40 MG Oral Tablet","SBD","ENG","N","C1329652",2
"Crestor 5 MG Oral Tablet",113669,4,859426,100,1,5,"Rosuvastatin calcium 5 MG Oral Tablet [Crestor]","Crestor 5 MG Oral Tablet","SBD","ENG","N","C1329836",2
"Cyanocobalamin 1000 MCG/ML Injection Solution",14771,5,309594,100,1,14,"Vitamin B 12 1 MG/ML Injectable Solution","cyanocobalamin 1 MG/ML Injectable Solution","SCD","ENG","N","C0976005",1
"Cyclobenzaprine HCl 10 MG Oral Tablet",13905,46,828348,100,1,44,"Cyclobenzaprine hydrochloride 10 MG Oral Tablet","","SCD","ENG","N","C0688426",1
"Cyclobenzaprine HCl 5 MG Oral Tablet",133170,37,828320,100,1,20,"Cyclobenzaprine hydrochloride 5 MG Oral Tablet","","SCD","ENG","N","C1177588",1
"Cyclophosphamide 25 MG Oral Tablet",19603,1,197549,100,1,15,"Cyclophosphamide 25 MG Oral Tablet","","SCD","ENG","N","C0688435",1
"Cyclophosphamide 50 MG Oral Tablet",26372,2,197550,100,1,15,"Cyclophosphamide 50 MG Oral Tablet","","SCD","ENG","N","C0688436",1
"CycloSPORINE 100 MG Oral Capsule",26374,1,328160,100,1,11,"Cyclosporine 100 MG Oral Capsule","","SCD","ENG","N","C1123024",1
"CycloSPORINE Modified 25 MG Oral Capsule",98138,2,835894,100,1,9,"cyclosporine, modified 25 MG Oral Capsule","","SCD","ENG","N","C2609939",1
"Cymbalta 20 MG Oral Capsule Delayed Release Particles",122763,12,596928,88,1,13,"duloxetine 20 MG Delayed Release Oral Capsule [Cymbalta]","Cymbalta 20 MG Delayed Release Oral Capsule","SBD","ENG","N","C1656295",2
"Cymbalta 30 MG Oral Capsule Delayed Release Particles",122517,24,596932,88,1,19,"duloxetine 30 MG Delayed Release Oral Capsule [Cymbalta]","Cymbalta 30 MG Delayed Release Oral Capsule","SBD","ENG","N","C1614249",2
"Cymbalta 60 MG Oral Capsule Delayed Release Particles",122597,14,615186,88,1,19,"duloxetine 60 MG Delayed Release Oral Capsule [Cymbalta]","Cymbalta 60 MG (duloxetine hydrochloride 67.3 MG) Delayed Release Oral Capsule","SBD","ENG","N","C1624617",2
"Cyproheptadine HCl 2 MG/5ML Oral Syrup",13912,11,866021,100,1,20,"Cyproheptadine hydrochloride 0.4 MG/ML Oral Solution","cyproheptadine HCl 4 MG per 10 ML Oral Syrup","SCD","ENG","N","C1877609",1
"Cyproheptadine HCl 4 MG Oral Tablet",13913,3,866144,100,1,28,"Cyproheptadine hydrochloride 4 MG Oral Tablet","","SCD","ENG","N","C0976051",1
"Cyto-Q 80 MG/10ML Oral Liquid",142267,1,1245686,60,1,5,"Docusate Sodium 10 MG/ML Oral Solution","DOSS Sodium 10 MG/ML Oral Solution","SCD","ENG","N","C0976512",1
"Cytomel 5 MCG Oral Tablet",14793,1,903458,100,1,8,"liothyronine sodium 0.005 MG Oral Tablet [Cytomel]","Cytomel 5 MCG Oral Tablet","SBD","ENG","N","C0707914",2
"Cytra-2 500-334 MG/5ML Oral Solution",28360,3,543018,90,1,5,"Citric Acid 66.8 MG/ML / sodium citrate 100 MG/ML Oral Solution [Cytra 2]","Cytra 2 Oral Solution","SBD","ENG","N","C1585814",2
"Cytra-3 550-500-334 MG/5ML Oral Syrup",115431,1,828618,69,1,1,"Citric Acid 66.8 MG/ML / potassium citrate 110 MG/ML / sodium citrate 100 MG/ML Oral Solution [Cytra-3]","Cytra-3 Oral Solution","SBD","ENG","N","C0711054",2
"Dapsone 100 MG Oral Tablet",13968,3,197557,100,1,18,"Dapsone 100 MG Oral Tablet","","SCD","ENG","N","C0688460",1
"Dapsone 25 MG Oral Tablet",14825,2,197558,100,1,17,"Dapsone 25 MG Oral Tablet","","SCD","ENG","N","C0688461",1
"Daytrana 10 MG/9HR Transdermal Patch",134027,2,753437,100,1,6,"9 HR Methylphenidate 1.11 MG/HR Transdermal Patch [Daytrana]","Daytrana 10 MG per 9 HR Transdermal Patch","SBD","ENG","N","C1711742",2
"Daytrana 15 MG/9HR Transdermal Patch",134261,1,753439,100,1,7,"9 HR Methylphenidate 1.67 MG/HR Transdermal Patch [Daytrana]","Daytrana 15 MG per 9 HR Transdermal Patch","SBD","ENG","N","C1711744",2
"Daytrana 20 MG/9HR Transdermal Patch",134003,1,753442,100,1,6,"9 HR Methylphenidate 2.22 MG/HR Transdermal Patch [Daytrana]","Daytrana 20 MG per 9 HR Transdermal Patch","SBD","ENG","N","C1711746",2
"Daytrana 30 MG/9HR Transdermal Patch",134153,1,753443,100,1,6,"9 HR Methylphenidate 3.33 MG/HR Transdermal Patch [Daytrana]","Daytrana 30 MG per 9 HR Transdermal Patch","SBD","ENG","N","C1711748",2
"DDAVP 0.2 MG Oral Tablet",28337,1,849524,100,1,7,"Desmopressin Acetate 0.2 MG Oral Tablet [DDAVP]","DDAVP 0.2 MG Oral Tablet","SBD","ENG","N","C0713522",2
"Denavir 1 % External Cream",23139,1,211343,60,1,11,"penciclovir 10 MG/ML Topical Cream [Denavir]","Denavir 1 % Topical Cream","SBD","ENG","N","C0713383",2
"Depakote 250 MG Oral Tablet Delayed Release",14924,5,1099679,100,1,11,"Divalproex Sodium 250 MG Delayed Release Oral Tablet [Depakote]","Depakote 250 MG Delayed Release Oral Tablet","SBD","ENG","N","C1169938",2
"Depakote 500 MG Oral Tablet Delayed Release",14069,3,1099871,100,1,9,"Divalproex Sodium 500 MG Delayed Release Oral Tablet [Depakote]","Depakote 500 MG Delayed Release Oral Tablet","SBD","ENG","N","C0706356",2
"Depakote ER 250 MG Oral Tablet Extended Release 24 Hour",104220,3,1099565,100,1,10,"24 HR Divalproex Sodium 250 MG Extended Release Oral Tablet [Depakote]","24 HR Depakote 250 MG Extended Release Oral Tablet","SBD","ENG","N","C0706355",2
"Depakote ER 500 MG Oral Tablet Extended Release 24 Hour",98140,16,1099571,100,1,12,"24 HR Divalproex Sodium 500 MG Extended Release Oral Tablet [Depakote]","24 HR Depakote 500 MG Extended Release Oral Tablet","SBD","ENG","N","C0939655",2
"Depakote Sprinkles 125 MG Oral Capsule Sprinkle",14925,4,1099598,67,1,10,"Divalproex Sodium 125 MG Delayed Release Oral Capsule [Depakote]","Depakote 125 MG Delayed Release Oral Capsule","SBD","ENG","N","C0706352",2
"DermOtic 0.01 % Otic Oil",133223,2,1191301,83,1,10,"Fluocinolone Acetonide 0.1 MG/ML Otic Solution [Dermotic]","Dermotic 0.1 MG/ML Otic Solution","SBD","ENG","N","C1694133",2
"Desitin 13 % External Cream",155572,1,1090577,43,1,8,"Zinc Oxide 130 MG/ML Topical Cream [Desitin]","Desitin 130 MG/ML Topical Cream","SBD","ENG","N","C2979269",2
"Desmopressin Ace Rhinal Tube 0.01 % Nasal Solution",133740,1,849520,88,1,12,"Desmopressin Acetate 0.1 MG/ML Nasal Solution","desmopressin acetate 0.01 % Nasal Solution","SCD","ENG","N","C1168875",1
"Desmopressin Acetate 0.1 MG Oral Tablet",130711,2,849515,100,1,16,"Desmopressin Acetate 0.1 MG Oral Tablet","","SCD","ENG","N","C0704670",1
"Desmopressin Acetate 0.2 MG Oral Tablet",130701,5,833008,100,1,19,"Desmopressin Acetate 0.2 MG Oral Tablet","","SCD","ENG","N","C0704671",1
"Desmopressin Acetate 4 MCG/ML Injection Solution",19606,1,849501,100,1,15,"Desmopressin Acetate 0.004 MG/ML Injectable Solution","desmopressin acetate 4 MCG/ML Injectable Solution","SCD","ENG","N","C0775228",1
"Desmopressin Acetate Spray 0.01 % Nasal Solution",97989,3,849520,100,1,9,"Desmopressin Acetate 0.1 MG/ML Nasal Solution","desmopressin acetate 0.01 % Nasal Solution","SCD","ENG","N","C1168875",1
"Desonide 0.05 % External Cream",14099,2,349351,80,1,16,"Desonide 0.5 MG/ML Topical Cream","desonide 0.05 % Topical Cream","SCD","ENG","N","C1164916",1
"Desonide 0.05 % External Lotion",100245,2,197572,80,1,17,"Desonide 0.5 MG/ML Topical Lotion","desonide 0.05 % Topical Lotion","SCD","ENG","N","C0688483",1
"Desoximetasone 0.25 % External Ointment",26380,1,197575,80,1,16,"Desoximetasone 0.0025 MG/MG Topical Ointment","desoximetasone 0.25 % Topical Ointment","SCD","ENG","N","C0688487",1
